customer_id,first_order_date,acquisition_channel,first_order_month,Second Order Date,Days to 2nd Purchase,Repeat Bucket,Repeat Bucket Sort
8217,"Sunday, 30 November 2025",Paid Search,2025-11,27/12/2025 00:00:00,27,15–30 days,3
8235,"Saturday, 29 November 2025",Paid Search,2025-11,,,,
8273,"Saturday, 1 November 2025",Paid Search,2025-11,15/11/2025 00:00:00,14,8–14 days,2
8335,"Wednesday, 5 November 2025",Paid Search,2025-11,14/11/2025 00:00:00,9,8–14 days,2
8366,"Tuesday, 4 November 2025",Paid Search,2025-11,,,,
8371,"Thursday, 27 November 2025",Paid Search,2025-11,28/11/2025 00:00:00,1,0–7 days,1
8602,"Wednesday, 26 November 2025",Paid Search,2025-11,,,,
8881,"Sunday, 9 November 2025",Paid Search,2025-11,,,,
8888,"Friday, 14 November 2025",Paid Search,2025-11,,,,
8992,"Wednesday, 19 November 2025",Paid Search,2025-11,03/12/2025 00:00:00,14,8–14 days,2
9048,"Thursday, 13 November 2025",Paid Search,2025-11,14/12/2025 00:00:00,31,31–60 days,4
9068,"Tuesday, 18 November 2025",Paid Search,2025-11,26/12/2025 00:00:00,38,31–60 days,4
9091,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
9177,"Sunday, 30 November 2025",Paid Search,2025-11,,,,
9266,"Saturday, 8 November 2025",Paid Search,2025-11,26/12/2025 00:00:00,48,31–60 days,4
9288,"Tuesday, 11 November 2025",Paid Search,2025-11,02/12/2025 00:00:00,21,15–30 days,3
9318,"Friday, 21 November 2025",Paid Search,2025-11,,,,
9352,"Friday, 7 November 2025",Paid Search,2025-11,,,,
9389,"Wednesday, 5 November 2025",Paid Search,2025-11,,,,
9499,"Saturday, 15 November 2025",Paid Search,2025-11,,,,
9513,"Friday, 21 November 2025",Paid Search,2025-11,,,,
9526,"Saturday, 15 November 2025",Paid Search,2025-11,18/12/2025 00:00:00,33,31–60 days,4
9550,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
9562,"Friday, 7 November 2025",Paid Search,2025-11,,,,
9590,"Saturday, 15 November 2025",Paid Search,2025-11,,,,
9626,"Saturday, 22 November 2025",Paid Search,2025-11,22/12/2025 00:00:00,30,15–30 days,3
9638,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
9661,"Friday, 21 November 2025",Paid Search,2025-11,09/12/2025 00:00:00,18,15–30 days,3
9738,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
9958,"Saturday, 8 November 2025",Paid Search,2025-11,24/11/2025 00:00:00,16,15–30 days,3
9989,"Saturday, 8 November 2025",Paid Search,2025-11,22/11/2025 00:00:00,14,8–14 days,2
10044,"Monday, 3 November 2025",Paid Search,2025-11,07/12/2025 00:00:00,34,31–60 days,4
10053,"Monday, 24 November 2025",Paid Search,2025-11,29/12/2025 00:00:00,35,31–60 days,4
10140,"Saturday, 15 November 2025",Paid Search,2025-11,29/12/2025 00:00:00,44,31–60 days,4
10186,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
10191,"Saturday, 8 November 2025",Paid Search,2025-11,22/11/2025 00:00:00,14,8–14 days,2
10205,"Monday, 17 November 2025",Paid Search,2025-11,,,,
10301,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
10303,"Tuesday, 4 November 2025",Paid Search,2025-11,,,,
10314,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
10346,"Monday, 17 November 2025",Paid Search,2025-11,,,,
10366,"Monday, 10 November 2025",Paid Search,2025-11,,,,
10372,"Sunday, 9 November 2025",Paid Search,2025-11,23/11/2025 00:00:00,14,8–14 days,2
10500,"Thursday, 20 November 2025",Paid Search,2025-11,,,,
10526,"Saturday, 8 November 2025",Paid Search,2025-11,13/12/2025 00:00:00,35,31–60 days,4
10538,"Tuesday, 11 November 2025",Paid Search,2025-11,10/12/2025 00:00:00,29,15–30 days,3
10546,"Friday, 14 November 2025",Paid Search,2025-11,,,,
10576,"Wednesday, 12 November 2025",Paid Search,2025-11,,,,
10701,"Monday, 17 November 2025",Paid Search,2025-11,,,,
10751,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
10896,"Monday, 17 November 2025",Paid Search,2025-11,,,,
10967,"Sunday, 23 November 2025",Paid Search,2025-11,,,,
10989,"Wednesday, 19 November 2025",Paid Search,2025-11,26/12/2025 00:00:00,37,31–60 days,4
11020,"Saturday, 29 November 2025",Paid Search,2025-11,,,,
11055,"Saturday, 29 November 2025",Paid Search,2025-11,,,,
11067,"Saturday, 22 November 2025",Paid Search,2025-11,02/12/2025 00:00:00,10,8–14 days,2
11122,"Saturday, 8 November 2025",Paid Search,2025-11,19/12/2025 00:00:00,41,31–60 days,4
11171,"Sunday, 16 November 2025",Paid Search,2025-11,20/12/2025 00:00:00,34,31–60 days,4
11255,"Sunday, 23 November 2025",Paid Search,2025-11,,,,
11300,"Friday, 7 November 2025",Paid Search,2025-11,,,,
11342,"Friday, 21 November 2025",Paid Search,2025-11,28/11/2025 00:00:00,7,0–7 days,1
11435,"Thursday, 6 November 2025",Paid Search,2025-11,,,,
11481,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
11562,"Sunday, 23 November 2025",Paid Search,2025-11,,,,
11622,"Saturday, 8 November 2025",Paid Search,2025-11,18/12/2025 00:00:00,40,31–60 days,4
11626,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
11662,"Sunday, 30 November 2025",Paid Search,2025-11,04/12/2025 00:00:00,4,0–7 days,1
11686,"Wednesday, 5 November 2025",Paid Search,2025-11,,,,
11802,"Thursday, 6 November 2025",Paid Search,2025-11,21/12/2025 00:00:00,45,31–60 days,4
11890,"Monday, 24 November 2025",Paid Search,2025-11,,,,
11903,"Monday, 24 November 2025",Paid Search,2025-11,,,,
11993,"Saturday, 1 November 2025",Paid Search,2025-11,15/11/2025 00:00:00,14,8–14 days,2
12038,"Tuesday, 18 November 2025",Paid Search,2025-11,02/12/2025 00:00:00,14,8–14 days,2
12040,"Monday, 24 November 2025",Paid Search,2025-11,,,,
12049,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
12075,"Friday, 21 November 2025",Paid Search,2025-11,,,,
12088,"Friday, 14 November 2025",Paid Search,2025-11,,,,
12107,"Saturday, 29 November 2025",Paid Search,2025-11,,,,
12170,"Thursday, 6 November 2025",Paid Search,2025-11,11/12/2025 00:00:00,35,31–60 days,4
12177,"Friday, 7 November 2025",Paid Search,2025-11,,,,
12407,"Saturday, 29 November 2025",Paid Search,2025-11,16/12/2025 00:00:00,17,15–30 days,3
12513,"Wednesday, 26 November 2025",Paid Search,2025-11,,,,
12526,"Saturday, 15 November 2025",Paid Search,2025-11,,,,
12541,"Sunday, 23 November 2025",Paid Search,2025-11,,,,
12568,"Friday, 21 November 2025",Paid Search,2025-11,,,,
12594,"Monday, 24 November 2025",Paid Search,2025-11,,,,
12622,"Saturday, 29 November 2025",Paid Search,2025-11,,,,
12638,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
12648,"Friday, 21 November 2025",Paid Search,2025-11,,,,
12678,"Monday, 17 November 2025",Paid Search,2025-11,,,,
12716,"Saturday, 15 November 2025",Paid Search,2025-11,29/12/2025 00:00:00,44,31–60 days,4
12743,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
12750,"Monday, 24 November 2025",Paid Search,2025-11,,,,
12778,"Thursday, 13 November 2025",Paid Search,2025-11,,,,
12839,"Friday, 28 November 2025",Paid Search,2025-11,,,,
12868,"Saturday, 15 November 2025",Paid Search,2025-11,29/11/2025 00:00:00,14,8–14 days,2
12935,"Monday, 24 November 2025",Paid Search,2025-11,13/12/2025 00:00:00,19,15–30 days,3
12945,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
12959,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
12969,"Tuesday, 18 November 2025",Paid Search,2025-11,24/11/2025 00:00:00,6,0–7 days,1
12971,"Thursday, 13 November 2025",Paid Search,2025-11,,,,
13007,"Saturday, 1 November 2025",Paid Search,2025-11,,,,
13013,"Thursday, 20 November 2025",Paid Search,2025-11,,,,
13194,"Friday, 7 November 2025",Paid Search,2025-11,,,,
13197,"Wednesday, 26 November 2025",Paid Search,2025-11,,,,
13229,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
13236,"Sunday, 30 November 2025",Paid Search,2025-11,08/12/2025 00:00:00,8,8–14 days,2
13300,"Wednesday, 26 November 2025",Paid Search,2025-11,,,,
13322,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
13386,"Saturday, 15 November 2025",Paid Search,2025-11,06/12/2025 00:00:00,21,15–30 days,3
43,"Wednesday, 10 December 2025",Paid Search,2025-12,,,,
48,"Tuesday, 2 December 2025",Paid Search,2025-12,,,,
110,"Monday, 29 December 2025",Paid Search,2025-12,,,,
123,"Wednesday, 3 December 2025",Paid Search,2025-12,05/12/2025 00:00:00,2,0–7 days,1
131,"Friday, 5 December 2025",Paid Search,2025-12,21/12/2025 00:00:00,16,15–30 days,3
170,"Saturday, 20 December 2025",Paid Search,2025-12,,,,
209,"Wednesday, 24 December 2025",Paid Search,2025-12,,,,
214,"Sunday, 28 December 2025",Paid Search,2025-12,29/12/2025 00:00:00,1,0–7 days,1
219,"Saturday, 13 December 2025",Paid Search,2025-12,,,,
261,"Thursday, 11 December 2025",Paid Search,2025-12,24/12/2025 00:00:00,13,8–14 days,2
285,"Wednesday, 17 December 2025",Paid Search,2025-12,,,,
293,"Monday, 22 December 2025",Paid Search,2025-12,,,,
315,"Saturday, 13 December 2025",Paid Search,2025-12,,,,
449,"Monday, 8 December 2025",Paid Search,2025-12,17/12/2025 00:00:00,9,8–14 days,2
465,"Thursday, 18 December 2025",Paid Search,2025-12,,,,
505,"Thursday, 4 December 2025",Paid Search,2025-12,,,,
563,"Wednesday, 24 December 2025",Paid Search,2025-12,,,,
731,"Tuesday, 2 December 2025",Paid Search,2025-12,,,,
769,"Tuesday, 30 December 2025",Paid Search,2025-12,31/12/2025 00:00:00,1,0–7 days,1
789,"Wednesday, 10 December 2025",Paid Search,2025-12,,,,
837,"Wednesday, 3 December 2025",Paid Search,2025-12,18/12/2025 00:00:00,15,15–30 days,3
1006,"Tuesday, 2 December 2025",Paid Search,2025-12,,,,
1170,"Friday, 26 December 2025",Paid Search,2025-12,,,,
1251,"Tuesday, 16 December 2025",Paid Search,2025-12,,,,
1304,"Sunday, 21 December 2025",Paid Search,2025-12,,,,
1321,"Saturday, 27 December 2025",Paid Search,2025-12,,,,
1330,"Monday, 1 December 2025",Paid Search,2025-12,,,,
1356,"Monday, 15 December 2025",Paid Search,2025-12,,,,
1474,"Friday, 12 December 2025",Paid Search,2025-12,,,,
1688,"Friday, 12 December 2025",Paid Search,2025-12,,,,
1734,"Wednesday, 17 December 2025",Paid Search,2025-12,,,,
1782,"Tuesday, 9 December 2025",Paid Search,2025-12,,,,
1794,"Tuesday, 9 December 2025",Paid Search,2025-12,,,,
1798,"Saturday, 27 December 2025",Paid Search,2025-12,,,,
1864,"Thursday, 18 December 2025",Paid Search,2025-12,,,,
1958,"Friday, 5 December 2025",Paid Search,2025-12,22/12/2025 00:00:00,17,15–30 days,3
1986,"Thursday, 11 December 2025",Paid Search,2025-12,,,,
2058,"Saturday, 27 December 2025",Paid Search,2025-12,,,,
2083,"Thursday, 4 December 2025",Paid Search,2025-12,,,,
2132,"Sunday, 14 December 2025",Paid Search,2025-12,21/12/2025 00:00:00,7,0–7 days,1
2224,"Sunday, 28 December 2025",Paid Search,2025-12,,,,
2237,"Wednesday, 10 December 2025",Paid Search,2025-12,24/12/2025 00:00:00,14,8–14 days,2
2307,"Monday, 8 December 2025",Paid Search,2025-12,27/12/2025 00:00:00,19,15–30 days,3
2315,"Tuesday, 9 December 2025",Paid Search,2025-12,,,,
2345,"Monday, 1 December 2025",Paid Search,2025-12,08/12/2025 00:00:00,7,0–7 days,1
2376,"Sunday, 28 December 2025",Paid Search,2025-12,30/12/2025 00:00:00,2,0–7 days,1
2501,"Monday, 22 December 2025",Paid Search,2025-12,30/12/2025 00:00:00,8,8–14 days,2
2591,"Monday, 22 December 2025",Paid Search,2025-12,26/12/2025 00:00:00,4,0–7 days,1
2599,"Monday, 8 December 2025",Paid Search,2025-12,,,,
2638,"Wednesday, 24 December 2025",Paid Search,2025-12,,,,
2648,"Wednesday, 31 December 2025",Paid Search,2025-12,,,,
2735,"Thursday, 18 December 2025",Paid Search,2025-12,,,,
2789,"Thursday, 11 December 2025",Paid Search,2025-12,,,,
2795,"Friday, 5 December 2025",Paid Search,2025-12,13/12/2025 00:00:00,8,8–14 days,2
2806,"Saturday, 20 December 2025",Paid Search,2025-12,,,,
2895,"Wednesday, 17 December 2025",Paid Search,2025-12,24/12/2025 00:00:00,7,0–7 days,1
2914,"Sunday, 14 December 2025",Paid Search,2025-12,29/12/2025 00:00:00,15,15–30 days,3
2928,"Monday, 8 December 2025",Paid Search,2025-12,,,,
3018,"Wednesday, 24 December 2025",Paid Search,2025-12,26/12/2025 00:00:00,2,0–7 days,1
3073,"Thursday, 4 December 2025",Paid Search,2025-12,,,,
3110,"Wednesday, 31 December 2025",Paid Search,2025-12,,,,
3192,"Monday, 15 December 2025",Paid Search,2025-12,,,,
3258,"Tuesday, 2 December 2025",Paid Search,2025-12,,,,
3345,"Wednesday, 24 December 2025",Paid Search,2025-12,31/12/2025 00:00:00,7,0–7 days,1
3354,"Friday, 5 December 2025",Paid Search,2025-12,,,,
3358,"Friday, 5 December 2025",Paid Search,2025-12,07/12/2025 00:00:00,2,0–7 days,1
3408,"Thursday, 11 December 2025",Paid Search,2025-12,28/12/2025 00:00:00,17,15–30 days,3
3545,"Wednesday, 10 December 2025",Paid Search,2025-12,,,,
3687,"Saturday, 20 December 2025",Paid Search,2025-12,,,,
3703,"Monday, 1 December 2025",Paid Search,2025-12,22/12/2025 00:00:00,21,15–30 days,3
3781,"Sunday, 21 December 2025",Paid Search,2025-12,,,,
3883,"Sunday, 7 December 2025",Paid Search,2025-12,,,,
3908,"Sunday, 28 December 2025",Paid Search,2025-12,,,,
3914,"Friday, 26 December 2025",Paid Search,2025-12,,,,
4059,"Saturday, 13 December 2025",Paid Search,2025-12,,,,
4085,"Thursday, 25 December 2025",Paid Search,2025-12,,,,
4179,"Wednesday, 3 December 2025",Paid Search,2025-12,18/12/2025 00:00:00,15,15–30 days,3
4273,"Thursday, 18 December 2025",Paid Search,2025-12,21/12/2025 00:00:00,3,0–7 days,1
4301,"Thursday, 4 December 2025",Paid Search,2025-12,17/12/2025 00:00:00,13,8–14 days,2
4442,"Tuesday, 16 December 2025",Paid Search,2025-12,27/12/2025 00:00:00,11,8–14 days,2
4486,"Saturday, 27 December 2025",Paid Search,2025-12,,,,
4543,"Tuesday, 16 December 2025",Paid Search,2025-12,,,,
4550,"Saturday, 20 December 2025",Paid Search,2025-12,,,,
4563,"Monday, 15 December 2025",Paid Search,2025-12,,,,
4591,"Friday, 19 December 2025",Paid Search,2025-12,,,,
4599,"Saturday, 6 December 2025",Paid Search,2025-12,,,,
4617,"Thursday, 25 December 2025",Paid Search,2025-12,,,,
4644,"Friday, 26 December 2025",Paid Search,2025-12,,,,
4669,"Saturday, 6 December 2025",Paid Search,2025-12,,,,
4681,"Wednesday, 10 December 2025",Paid Search,2025-12,26/12/2025 00:00:00,16,15–30 days,3
4718,"Wednesday, 3 December 2025",Paid Search,2025-12,,,,
4726,"Monday, 1 December 2025",Paid Search,2025-12,,,,
4798,"Sunday, 28 December 2025",Paid Search,2025-12,30/12/2025 00:00:00,2,0–7 days,1
4872,"Monday, 22 December 2025",Paid Search,2025-12,,,,
4880,"Wednesday, 3 December 2025",Paid Search,2025-12,,,,
4885,"Thursday, 11 December 2025",Paid Search,2025-12,,,,
4900,"Monday, 22 December 2025",Paid Search,2025-12,23/12/2025 00:00:00,1,0–7 days,1
4996,"Monday, 22 December 2025",Paid Search,2025-12,,,,
